h;Error by Eq1 in f3;Error by Eq4 in f3;Error by Eq5 in f3;n by Eq6;n by Eq7
2^-4;0.06380208333333333;0.13020833333333334;-0.0026041666666666665;2.0408163265306127;2.1176470588235294
2^-5;0.031575520833333336;0.06380208333333333;-0.0006510416666666666;2.020618556701031;2.0606060606060606
2^-6;0.015706380208333332;0.031575520833333336;-0.00016276041666666666;2.0103626943005186;2.0307692307692307
2^-7;0.007832845052083334;0.015706380208333332;-4.0690104166666664e-05;2.005194805194805;2.0155038759689923
2^-8;0.003911336263020833;0.007832845052083334;-1.0172526041666666e-05;2.0026007802340704;2.007782101167315
2^-9;0.0019543965657552085;0.003911336263020833;-2.5431315104166665e-06;2.001301236174365;2.003898635477583
2^-10;0.000976880391438802;0.0019543965657552085;-6.357828776041666e-07;2.0006508298080057;2.001951219512195
2^-11;0.0004883607228597006;0.000976880391438802;-1.5894571940104166e-07;2.0003254678600486;2.0009760858955588
2^-12;0.0002441604932149251;0.0004883607228597006;-3.9736429850260414e-08;2.000162747172268;2.000488162069807
2^-13;0.0001220752795537313;0.0002441604932149251;-9.934107462565104e-09;2.0000813768970986;2.000244110826315
2^-14;6.103639801343282e-05;0.0001220752795537313;-2.483526865641276e-09;2.0000406892763416;2.000122062862374
2^-15;3.051788856585821e-05;6.103639801343282e-05;-6.20881716410319e-10;2.0000203448451246;2.0000610332936617
2^-16;1.525886667271455e-05;3.051788856585821e-05;-1.5522042910257974e-10;2.000010172474302;2.000030517112471
2^-17;7.629413933803638e-06;1.525886667271455e-05;-3.8805107275644936e-11;2.0000050862500856;2.000015258672648
2^-18;3.814697265625e-06;7.629413933803638e-06;0.0;2.000005086263021;2.000005086237151
2^-19;1.9073486328125e-06;3.814697265625e-06;0.0;2.0;2.0000101725260415
2^-20;9.5367431640625e-07;1.9073486328125e-06;0.0;2.0;2.0
2^-21;4.76837158203125e-07;9.5367431640625e-07;0.0;2.0;2.0
2^-22;2.384185791015625e-07;4.76837158203125e-07;0.0;2.0;2.0
2^-23;1.1920928955078125e-07;2.384185791015625e-07;0.0;2.0;2.0
2^-24;5.960464477539063e-08;1.1920928955078125e-07;0.0;2.0;2.0
2^-25;2.9802322387695312e-08;5.960464477539063e-08;0.0;2.0;2.0
2^-26;1.4901161193847656e-08;2.9802322387695312e-08;0.0;2.0;2.0
2^-27;9.934107462565104e-09;1.4901161193847656e-08;0.0;1.5;3.0
2^-28;0.0;9.934107462565104e-09;0.0;None;0.5
2^-29;0.0;0.0;0.0;None;None
2^-30;0.0;0.0;0.0;None;None
2^-31;0.0;0.0;0.0;None;None
2^-32;0.0;0.0;0.0;None;None
2^-33;0.0;0.0;0.0;None;None
2^-34;0.0;0.0;0.0;None;None
2^-35;0.0;0.0;0.0;None;None
2^-36;0.0;0.0;0.0;None;None
2^-37;0.0;0.0;0.0;None;None
2^-38;0.0;0.0;0.0;None;None
2^-39;0.0;0.0;0.0;None;None
2^-40;0.0;0.0;0.0;None;None
