h;Error by Eq1 in f1;Error by Eq1 in f2;Error by Eq2 in f1;Error by Eq2 in f2
10^-0;0.051666666666666666;0.051666666666666666;0.0016666666666666668;0.0016666666666666668
10^-1;0.005016666666665515;0.005016676584879557;1.6666666666272553e-05;1.6673405965169272e-05
10^-2;0.0005001666666733703;0.0005000432332356771;1.666666472980675e-07;1.5894571940104166e-07
10^-3;5.0001665992264556e-05;5.14984130859375e-05;1.6661185024228569e-09;6.357828776041666e-07
10^-4;5.000014425604604e-06;-8.900960286458334e-06;1.4248750327775875e-11;-8.900960286458334e-06
10^-5;4.999710654374212e-07;8.646647135416667e-05;-6.154247481996815e-11;8.646647135416667e-05
10^-6;4.901327580834428e-08;0.0013580322265625;-1.0089327891667683e-09;0.0013580322265625
10^-7;-2.5247572921216488e-09;-0.014536539713541666;-6.31431854950885e-09;-0.014536539713541666
10^-8;3.537085528175036e-08;-0.04632568359375;3.537085528175036e-08;-0.04632568359375
10^-9;3.537085528175036e-08;-1.0;3.537085528175036e-08;-1.0
10^-10;4.582844364146392e-06;-1.0;4.582844364146392e-06;-1.0
10^-11;-0.00016215785096089044;-1.0;-0.00016215785096089044;-1.0
10^-12;0.0004441719502210617;-1.0;0.0004441719502210617;-1.0
10^-13;0.0004441719502210617;-1.0;0.0004441719502210617;-1.0
10^-14;0.061077152068416275;-1.0;0.061077152068416275;-1.0
10^-15;0.5158245029548802;-1.0;0.5158245029548802;-1.0
