h;Error by Eq1 in f1;Error by Eq1 in f2;Error by Eq2 in f1;Error by Eq2 in f2
10^-0;-1.2867895565493708;-1.2867895565493708;-2.7781512503836434;-2.7781512503836434
10^-1;-2.2995847547898998;-2.2995838961676998;-4.778151250393913;-4.777975675469709
10^-2;-3.30088525495297;-3.300992445375999;-6.7781513008537;-6.798751163663266
10^-3;-4.301015525280107;-4.288206153456655;-8.778294112702293;-6.196691172335305
10^-4;-5.301028742673693;-5.0505631366570665;-10.846223223343191;-5.0505631366570665
10^-5;-6.301055128632927;-4.063152263965087;-10.210825043365697;-4.063152263965087
10^-6;-7.30968627039199;-2.867089923978786;-8.996137763660224;-2.867089923978786
10^-7;-8.59778036477643;-1.8375389608884098;-8.199673512275254;-1.8375389608884098
10^-8;-7.451354438640046;-1.3341781634002563;-7.451354438640046;-1.3341781634002563
10^-9;-7.451354438640046;0.0;-7.451354438640046;0.0
10^-10;-5.338864891378412;0.0;-5.338864891378412;0.0
10^-11;-3.7900620198775234;0.0;-3.7900620198775234;0.0
10^-12;-3.3524488709312865;0.0;-3.3524488709312865;0.0
10^-13;-3.3524488709312865;0.0;-3.3524488709312865;0.0
10^-14;-1.2141212216124595;0.0;-1.2141212216124595;0.0
10^-15;-0.2874980316332462;0.0;-0.2874980316332462;0.0
